Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.26944,-0.51031,0.28865,0,0,0,6.7807,0.29298,-1.4874E-05,2.4289E-05,0.31555,0.022353,0.15762,0,0,0,0,0,0,package://urdf/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf/meshes/base_link.STL,,4.Khau_co_dinh-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_link,-0.12809,-0.0029768,-0.047288,0,0,0,0.078544,0.00012089,1.2041E-05,7.2401E-05,0.0001867,-1.3727E-05,0.00010536,0,0,0,0,0,0,package://urdf/meshes/shoulder_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf/meshes/shoulder_link.STL,,1.Khau_1-1,Origin_base_joint,Axis_base_joint,base_joint,revolute,0.031381,-0.48621,0.64846,1.4637,1.364,1.4753,base_link,0.99932,-0.031099,-0.019999,5,15.708,-0.7121,1.0226,,,0.1,0.05,,,,
upper_arm_link,-0.0359510769355043,0.101471863282887,-0.0883524082247067,0,0,0,1.15563417885558,0.00469014091577944,-0.000190374268485529,-0.000207932933886788,0.00526553608239336,-0.000301831977827001,0.00103972411329605,0,0,0,0,0,0,package://urdf/meshes/upper_arm_link.STL,0.545098039215686,0,0.870588235294118,1,0,0,0,0,0,0,package://urdf/meshes/upper_arm_link.STL,,2.Khau_2-1,Origin_shoulder_joint,Axis_shoulder_joint,shoulder_joint,revolute,-0.049966,0.001555,0.00099995,-1.3842,-0.058173,1.7475,shoulder_link,0,1,0,40,1.963,-0.2366,1.3435,,,0.1,0.05,,,,
lower_arm_link,0.175526166965059,0.0171013710823918,0.0662059762908605,0,0,0,0.846743571106871,0.000604197162411227,4.33275705881152E-05,0.000139868071192607,0.00163355847811025,3.56393297242611E-05,0.00183015618315855,0,0,0,0,0,0,package://urdf/meshes/lower_arm_link.STL,1,0.509803921568627,0.196078431372549,1,0,0,0,0,0,0,package://urdf/meshes/lower_arm_link.STL,,3.Khau_3-1,Origin_elbow_joint,Axis_elbow_joint,elbow_joint,revolute,-0.014232,0,-0.21358,-1.5708,1.1931,0,upper_arm_link,0,0,1,5,15.708,-0.2336,1.7762,,,0.1,0.05,,,,
