Trial,Valid,Score,WallSeconds,Wz,We,Wv,Wu,Wdu,Np,Nc,Message
1,1,20.9578063918385,5.3497343,0.1,1,0.3,0.1,0.5,30,5,
2,1,9.2560906557683,12.3096518,0.1,2,0.3,0.1,0.5,30,5,
3,1,173.843785008198,12.2424344,0.1,1,0.9,0.1,0.5,30,5,
4,1,20.6694329303497,13.6319213,0.3,1,0.3,0.05,0.5,30,5,
5,1,520.262784816405,16.6944075,0.0395204182711957,0.229956740367436,0.369471663267069,0.00217538687252171,1.04240627583124,20,10,
6,1,181.205645614493,15.790189,0.0165281586452231,1.90426909112911,2.14336866410241,0.336222441352493,3.12838916871753,50,5,
7,1,135.477931141158,10.3399047,0.146946044166215,4.32340830605918,0.97502773496661,0.0591109037577992,0.0800165973098766,15,2,
8,1,48.6217575300012,15.9437839,0.0337574954296469,1.10106842811963,0.640768869574723,0.00741142113978302,0.0506328068377383,50,8,
9,1,58.0873205587671,11.201959,0.111004104589382,0.993761137251821,0.515133659835069,0.104118818109293,0.99324876868754,30,5,
10,1,2.88497067027969,10.6326145,0.137573523866224,3.16414049776876,0.288408645889801,0.226752435160276,0.375681401872929,20,10,
11,1,5.13261696755261,8.9433974,0.152369057781433,2.88308352767305,0.398307217175722,0.724477344536427,0.527739712989407,15,10,
12,1,4.50776347199271,9.4479359,0.155232525426807,5,0.657626342905534,0.197473670726018,0.571916461009259,20,10,
