Trial,Valid,Score,WallSeconds,Wz,We,Wv,Wu,Wdu,Np,Nc,Message
1,1,28.5371014062669,15.7302513,1.3067,1.1822,0.02,0.0695,0.0479,30,10,
2,1,32.8414861107139,18.103424,1.3067,2.3644,0.02,0.0695,0.0479,30,10,
3,1,31.0429361237302,17.3319828,1.3067,1.1822,0.06,0.0695,0.0479,30,10,
4,1,23.8784611791857,17.3085941,2,1.1822,0.02,0.03475,0.0479,30,10,
5,0,1000000000000,19.9492678,0.0395204182711957,0.229956740367436,0.369471663267069,0.00217538687252171,1.04240627583124,20,10,load 1: Runaway/poor-tracking rejection threshold exceeded.
6,0,1000000000000,20.0465273,0.0165281586452231,1.90426909112911,2.14336866410241,0.336222441352493,3.12838916871753,50,5,load 1: Feedback torque rate constraint exceeded.
7,0,1000000000000,11.2652032,0.146946044166215,4.32340830605918,0.97502773496661,0.0591109037577992,0.0800165973098766,15,2,load 1: Feedback torque rate constraint exceeded.
8,1,163.515315210526,22.5948546,0.0337574954296469,1.10106842811963,0.640768869574723,0.00741142113978302,0.0506328068377383,50,8,
9,0,1000000000000,15.8554877,0.183135218769804,0.332868467247861,0.859137180549407,0.0375045269916886,3.23641194851538,40,2,load 1: Feedback torque rate constraint exceeded.
10,0,1000000000000,12.2988296,0.151654053347269,1.74558298624169,0.617524832323435,0.0287693577601219,9.87986318266184,20,3,load 1: Feedback torque rate constraint exceeded.
11,1,56.0780218988323,15.73658,0.0205475710692865,0.578902344669866,0.0469517318924321,0.332097542796612,1.01107762520252,30,8,
12,1,98.7932733963476,10.7951874,1.91416336349403,1.55284302056603,0.0219230235525237,0.00262230417921571,1.27416575428426,15,2,
13,1,713.048089214454,18.7732679,0.203074759967894,1.72501547398218,1.39684005917298,0.005819463849381,2.1624571834658,50,2,
14,1,886.208907801945,24.4853127,1.94452931431753,0.276031738089261,1.08332602718375,0.00167651473364578,0.154505136551971,15,10,
15,1,29.1270745225474,15.5444479,0.459629506299999,2.49959618345613,0.045427705054813,0.397533789092206,0.0706289256379363,20,10,
16,1,482.097223734873,11.7383183,0.0196919872177441,1.1723989052146,0.615407253162087,0.0745374825047118,0.340673757492297,15,3,
17,0,1000000000000,13.8927837,0.302754481265601,0.23998005961142,1.50554516554651,0.0156555198163286,0.982283969461221,15,5,load 1: Runaway/poor-tracking rejection threshold exceeded.
18,1,204.303396437622,15.3868123,0.0335212941391606,1.03949939066625,0.343130776080408,0.0340553862243305,0.569507163316131,30,5,
19,1,75.7708568073131,23.2439719,0.212153238250455,0.224080533282777,0.0540457582533964,0.00614721715621543,1.29963405798767,50,8,
20,1,633.354293531233,18.8257685,0.387595659878795,0.930155125349134,0.490186577813104,0.00213129986075183,3.14549175120807,50,2,
21,0,1000000000000,18.9703939,1.09207397748306,0.282547996090781,0.0223958777723716,0.0021588886453262,0.124762454132097,50,2,load 1: Feedback torque rate constraint exceeded.
22,0,1000000000000,12.9170275,0.0193519628128235,0.510087022863095,0.299074461975321,0.00220049665191739,2.87924998750582,20,5,load 1: Feedback torque rate constraint exceeded.
23,1,232.160524772256,17.4184628,0.788013420755731,0.861795029071971,0.415182691796297,0.00633324287579375,0.771382754780383,40,5,
24,0,1000000000000,21.5184514,0.0335333777192071,1.14707262666642,0.171938544347296,0.0906918106456912,0.421162410744481,50,5,load 1: Feedback torque rate constraint exceeded.
25,1,23.4531349849067,19.4366087,2,1.14088150355505,0.02,0.0128410192497576,0.0329493267112166,30,10,
26,1,32.9909705840321,19.3860282,0.693259433436469,1.28432529192647,0.0248821660058501,0.0191870682810461,0.0307279750558528,30,10,
27,1,249.269675876896,15.4862475,2,1.04150080392977,0.02,0.00630976482237268,0.03,30,3,
28,1,23.7409679550997,19.6753401,1.75026371304226,1.01719091603153,0.02,0.00802909399296153,0.0515181915420836,30,10,
29,1,21.225347196114,22.8399617,1.98535642423523,0.755084406783786,0.02,0.00445854305579206,0.03,40,10,
30,1,141.073426720331,16.7341125,2,1.71861425481626,0.0639124941152349,0.00374232777842,0.03,30,5,
31,1,292.681303296825,21.0634144,1.908558938489,0.346174084828595,0.02,0.00551564011063142,0.03,50,3,
32,1,18.6077122321594,23.5013582,2,0.627099734225573,0.02,0.00971044971736162,0.03,40,10,
33,0,1000000000000,17.2487243,2,0.55783146586316,0.0204361668625119,0.0381821681220882,0.0410098853519635,40,2,load 1: Feedback torque rate constraint exceeded.
34,1,27.8517197506558,23.6582817,1.53544016974154,0.84195936516857,0.0402044219088901,0.00609432016754301,0.0473371036318674,40,10,
35,1,275.539224841521,17.5887316,2,0.659240041995959,0.0222534996451317,0.00423038935634709,0.0361893339981561,40,3,
36,1,36.7995585535736,23.4167333,1.17070507688155,1.12998968030995,0.02,0.00333864932204011,0.038774791048091,40,10,
37,1,129.581681576568,19.0377105,1.62068127158043,0.300341430093711,0.02,0.0171815466469659,0.0572026139554814,40,5,
38,1,281.242094277874,15.9188079,1.68495684232725,1.75526548156841,0.0576599218691768,0.0148725052197513,0.03,30,3,
39,1,32.4148158169795,23.7734367,2,1.46110871928236,0.0321246537020437,0.018431677710038,0.03,40,10,
40,1,46.0457783084064,23.7315431,0.609917288695547,0.695005180684618,0.0730370982907871,0.0122519207743965,0.038874726966632,40,10,
