Trial,Valid,Score,WallSeconds,Wz,We,Wv,Wu,Wdu,Np,Nc,Message
1,1,2.88491936568338,5.4635509,0.1376,3.1641,0.2884,0.2268,0.3757,20,10,
2,1,1.96745120375506,10.873877,0.1376,5,0.2884,0.2268,0.3757,20,10,
3,1,16.5455887098777,10.2652107,0.1376,3.1641,0.8652,0.2268,0.3757,20,10,
4,1,2.87618496220439,10.6045701,0.4128,3.1641,0.2884,0.1134,0.3757,20,10,
5,1,520.262784816405,11.757319,0.0395204182711957,0.229956740367436,0.369471663267069,0.00217538687252171,1.04240627583124,20,10,
6,1,181.205645614493,12.494611,0.0165281586452231,1.90426909112911,2.14336866410241,0.336222441352493,3.12838916871753,50,5,
7,1,135.477931141158,8.3671728,0.146946044166215,4.32340830605918,0.97502773496661,0.0591109037577992,0.0800165973098766,15,2,
8,1,48.6217575300012,13.397252,0.0337574954296469,1.10106842811963,0.640768869574723,0.00741142113978302,0.0506328068377383,50,8,
9,1,801.417965654354,10.663252,0.183135218769804,0.332868467247861,0.859137180549407,0.0375045269916886,3.23641194851538,40,2,
10,1,159.281325261043,8.7921082,0.151654053347269,1.74558298624169,0.617524832323435,0.0287693577601219,9.87986318266184,20,3,
11,1,4.2158917072453,10.4969573,0.0205475710692865,0.578902344669866,0.0469517318924321,0.332097542796612,1.01107762520252,30,8,
12,1,32.6671436213058,8.3991144,1.91416336349403,1.55284302056603,0.0219230235525237,0.00262230417921571,1.27416575428426,15,2,
13,1,410.193740309714,12.2957767,0.203074759967894,1.72501547398218,1.39684005917298,0.005819463849381,2.1624571834658,50,2,
14,1,618.22960577353,13.1643365,1.94452931431753,0.276031738089261,1.08332602718375,0.00167651473364578,0.154505136551971,15,10,
15,1,1.40965950870542,9.7204652,0.459629506299999,2.49959618345613,0.045427705054813,0.397533789092206,0.0706289256379363,20,10,
16,1,240.719252476386,8.6368455,0.0196919872177441,1.1723989052146,0.615407253162087,0.0745374825047118,0.340673757492297,15,3,
17,1,719.44435184947,9.2344716,0.302754481265601,0.23998005961142,1.50554516554651,0.0156555198163286,0.982283969461221,15,5,
18,1,24.5441805416615,9.5552794,0.0335212941391606,1.03949939066625,0.343130776080408,0.0340553862243305,0.569507163316131,30,5,
19,1,10.417814779393,12.8383518,0.212153238250455,0.224080533282777,0.0540457582533964,0.00614721715621543,1.29963405798767,50,8,
20,1,382.982554265749,11.6516557,0.387595659878795,0.930155125349134,0.490186577813104,0.00213129986075183,3.14549175120807,50,2,
21,1,242.225592259668,11.5399349,1.09207397748306,0.282547996090781,0.0223958777723716,0.0021588886453262,0.124762454132097,50,2,
22,1,112.795320696401,8.7660723,0.0193519628128235,0.510087022863095,0.299074461975321,0.00220049665191739,2.87924998750582,20,5,
23,1,38.6755283258767,10.4213562,0.788013420755731,0.861795029071971,0.415182691796297,0.00633324287579375,0.771382754780383,40,5,
24,1,15.9799627090997,12.2034117,0.0335333777192071,1.14707262666642,0.171938544347296,0.0906918106456912,0.421162410744481,50,5,
25,1,1.33596475211285,9.8980184,0.79612407374481,2.4122340146015,0.023108731921904,0.146898965126967,0.04858404062853,20,10,
26,1,1.36193478777661,9.6550999,0.27596026215473,2.71552579767856,0.0287497651932751,0.219496631808205,0.0453086401925719,20,10,
27,1,37.9565432285838,8.5154342,1.42813875142963,2.20210745607287,0.02,0.0721825818163604,0.03,20,3,
28,1,1.33514680710402,9.6371784,0.69671353867746,2.1507076057847,0.02,0.0918514002302006,0.0759639774410602,20,10,
29,1,1.33115294651955,10.6363728,0.691612349932479,1.42343071705427,0.02,0.0318918159607049,0.0628903584562965,30,10,
30,1,3.12252068871268,8.7771197,0.71345289139403,3.23980776068826,0.0639124941152349,0.0267687509754914,0.03,20,5,
31,1,160.202942000871,10.3717889,0.664859425904583,0.652582441600162,0.02,0.0394531974038523,0.0498601313179034,40,3,
32,1,1.06238998009222,10.6411416,1.30671463027771,1.1821632341149,0.02,0.0694585364336601,0.0478857115664163,30,10,
33,1,156.994268847576,9.1845876,2,1.05158368563211,0.0204361668625119,0.27311582808389,0.0654595847111975,30,2,
34,1,1.34747955518598,10.67851,1.00319106685868,1.58720112894032,0.0402044219088901,0.0435924773534268,0.0755590296968387,30,10,
35,1,90.4990247847172,9.3863904,2,1.242751826496,0.0222534996451317,0.0302598398415104,0.0577650669872136,30,3,
36,1,1.3442345130003,10.8538601,0.764888725850757,2.13017512539905,0.02,0.0238812518805921,0.061891948672565,30,10,
37,1,2.74080215898136,9.6085325,1.05888396429562,0.566182023305657,0.02,0.122899053957427,0.0913062624239082,30,5,
38,1,39.2168222905389,8.5268118,1.10087887862777,3.30890001250544,0.0576599218691768,0.106382554437095,0.03,20,3,
39,1,1.22389636466031,10.9640445,2,2.75437687932267,0.0321246537020437,0.13184120149113,0.0319800242741539,30,10,
40,1,1.87722230880149,11.1062642,0.398493922198892,1.31017368894179,0.0730370982907871,0.0876375976664814,0.0620514654249108,30,10,
